season,league_name,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
58,2013/2014,Germany Bundesliga 1,53.94444444444444,51.333333333333336,49.44444444444444,50.72222222222222,48.388888888888886,50.94444444444444,48.44444444444444,51.888888888888886,47.666666666666664
59,2013/2014,Italy Serie A,58.35,57.95,49.8,57.55,55.95,58.95,40.85,55.6,47.05
60,2013/2014,Netherlands Eredivisie,50.611111111111114,43.22222222222222,44.44444444444444,51.833333333333336,51.72222222222222,49.611111111111114,47.0,48.666666666666664,51.22222222222222
61,2013/2014,Poland Ekstraklasa,54.46666666666667,52.46666666666667,47.2,55.6,53.86666666666667,52.86666666666667,44.666666666666664,46.266666666666666,54.0
62,2013/2014,Portugal Liga ZON Sagres,55.4375,53.625,47.375,53.5625,54.4375,51.4375,41.5625,45.0,53.6875
63,2013/2014,Scotland Premier League,56.75,50.916666666666664,54.916666666666664,51.25,52.75,51.5,44.083333333333336,45.083333333333336,51.5
64,2013/2014,Spain LIGA BBVA,46.65,48.15,46.8,55.2,56.6,49.75,48.5,49.9,57.45
65,2013/2014,Switzerland Super League,54.8,54.4,48.6,52.9,52.4,53.8,44.7,45.2,52.4
66,2014/2015,Belgium Jupiler League,52.5,46.8125,48.125,47.625,52.5625,46.4375,45.875,48.875,52.0
67,2014/2015,England Premier League,57.45,36.7,49.3,48.55,56.2,53.4,46.45,46.55,51.55
68,2014/2015,France Ligue 1,54.9,57.35,47.9,50.75,53.15,52.35,44.75,46.6,51.1
69,2014/2015,Germany Bundesliga 1,55.333333333333336,50.05555555555556,50.111111111111114,50.05555555555556,48.611111111111114,51.611111111111114,48.94444444444444,52.5,48.833333333333336
70,2014/2015,Italy Serie A,58.645118733509236,56.10949868073879,47.50923482849604,60.11873350923483,57.03034300791557,60.02110817941953,43.306068601583114,54.09498680738786,48.40501319261214
71,2014/2015,Netherlands Eredivisie,50.27777777777778,42.77777777777778,46.44444444444444,52.111111111111114,53.611111111111114,49.111111111111114,47.72222222222222,50.27777777777778,51.5
72,2014/2015,Poland Ekstraklasa,54.06666666666667,51.6,45.8,54.86666666666667,50.6,53.2,45.0,47.333333333333336,52.2
73,2014/2015,Portugal Liga ZON Sagres,54.5,53.55555555555556,47.22222222222222,52.44444444444444,54.55555555555556,50.5,41.333333333333336,46.611111111111114,53.5
74,2014/2015,Scotland Premier League,55.5,50.5,54.0,51.5,53.583333333333336,53.75,45.166666666666664,45.0,52.083333333333336
75,2014/2015,Spain LIGA BBVA,46.95,48.8,47.2,53.5,56.75,51.35,46.6,49.7,56.3
76,2014/2015,Switzerland Super League,56.4,52.1,49.3,51.5,51.7,53.2,44.3,44.1,52.7
77,2015/2016,Belgium Jupiler League,51.333333333333336,47.13333333333333,47.93333333333333,46.93333333333333,52.266666666666666,46.266666666666666,45.333333333333336,48.666666666666664,50.333333333333336
78,2015/2016,England Premier League,57.3,37.3,48.8,47.35,55.5,52.3,45.65,46.9,51.55
79,2015/2016,France Ligue 1,53.15,58.2,48.45,50.6,52.45,53.05,44.25,45.5,51.45
80,2015/2016,Germany Bundesliga 1,55.388888888888886,49.94444444444444,51.27777777777778,49.94444444444444,50.22222222222222,51.05555555555556,47.94444444444444,51.22222222222222,48.72222222222222
81,2015/2016,Italy Serie A,57.35,55.95,47.4,58.9,55.9,58.55,43.3,53.3,48.0
82,2015/2016,Netherlands Eredivisie,50.411764705882355,43.1764705882353,45.94117647058823,54.0,53.470588235294116,49.294117647058826,47.11764705882353,49.76470588235294,50.94117647058823
83,2015/2016,Poland Ekstraklasa,52.714285714285715,51.714285714285715,46.785714285714285,53.0,52.57142857142857,53.142857142857146,45.857142857142854,46.857142857142854,53.07142857142857
84,2015/2016,Portugal Liga ZON Sagres,53.875,52.6875,48.125,52.375,54.9375,51.5625,41.5625,47.75,54.0
85,2015/2016,Scotland Premier League,55.25,50.583333333333336,53.333333333333336,50.916666666666664,54.0,53.666666666666664,45.083333333333336,45.25,53.416666666666664
86,2015/2016,Spain LIGA BBVA,48.0,49.35,44.05,55.0,55.35,51.6,47.85,49.85,56.25
87,2015/2016,Switzerland Super League,56.888888888888886,52.55555555555556,48.55555555555556,51.22222222222222,50.44444444444444,52.0,44.0,44.111111111111114,52.55555555555556
