Id,season,league_name,Club,MP,W,D,L,Pts,GF,GA,GD,avg_goals
222,2009/2010,France Ligue 1,AJ Auxerre,38,20,11,7,71,42,29,13,1.105263157894737
789,2012/2013,France Ligue 1,Olympique de Marseille,38,21,8,9,71,42,36,6,1.105263157894737
135,2008/2009,Portugal Liga ZON Sagres,FC Porto,30,21,7,2,70,61,18,43,2.033333333333333
246,2009/2010,Germany Bundesliga 1,FC Bayern Munich,34,20,10,4,70,72,31,41,2.1176470588235294
1322,2015/2016,England Premier League,Tottenham Hotspur,38,19,13,6,70,69,35,34,1.8157894736842106
659,2011/2012,Netherlands Eredivisie,Feyenoord,34,21,7,6,70,70,37,33,2.0588235294117645
230,2009/2010,France Ligue 1,LOSC Lille,38,21,7,10,70,72,40,32,1.894736842105263
821,2012/2013,Italy Serie A,Fiorentina,38,21,7,10,70,72,44,28,1.894736842105263
1072,2013/2014,Spain LIGA BBVA,Athletic Club de Bilbao,38,20,10,8,70,66,39,27,1.736842105263158
218,2009/2010,England Premier League,Tottenham Hotspur,38,21,7,10,70,67,41,26,1.763157894736842
573,2011/2012,England Premier League,Arsenal,38,21,7,10,70,74,49,25,1.9473684210526316
1128,2014/2015,England Premier League,Manchester United,38,20,10,8,70,62,37,25,1.631578947368421
1191,2014/2015,Italy Serie A,Roma,38,19,13,6,70,54,31,23,1.4210526315789473
272,2009/2010,Italy Serie A,Milan,38,20,10,8,70,60,39,21,1.5789473684210527
460,2010/2011,Italy Serie A,Napoli,38,21,7,10,70,59,39,20,1.5526315789473684
173,2008/2009,Spain LIGA BBVA,Sevilla FC,38,21,7,10,70,54,39,15,1.4210526315789473
1067,2013/2014,Scotland Premier League,Motherwell,38,22,4,12,70,64,60,4,1.6842105263157894
847,2012/2013,Netherlands Eredivisie,PSV,34,22,3,9,69,103,43,60,3.0294117647058822
478,2010/2011,Netherlands Eredivisie,PSV,34,20,9,5,69,79,34,45,2.323529411764706
196,2009/2010,Belgium Jupiler League,RSC Anderlecht,28,22,3,3,69,62,20,42,2.2142857142857144
663,2011/2012,Netherlands Eredivisie,PSV,34,21,6,7,69,87,47,40,2.5588235294117645
75,2008/2009,Germany Bundesliga 1,VfL Wolfsburg,34,21,6,7,69,80,41,39,2.3529411764705883
695,2011/2012,Portugal Liga ZON Sagres,SL Benfica,30,21,6,3,69,66,27,39,2.2
1149,2014/2015,France Ligue 1,Olympique de Marseille,38,21,6,11,69,76,42,34,2.0
1175,2014/2015,Germany Bundesliga 1,VfL Wolfsburg,34,20,9,5,69,72,38,34,2.1176470588235294
101,2008/2009,Netherlands Eredivisie,FC Twente,34,20,9,5,69,62,31,31,1.8235294117647058
1468,2015/2016,Switzerland Super League,BSC Young Boys,36,20,9,7,69,78,47,31,2.1666666666666665
842,2012/2013,Netherlands Eredivisie,Feyenoord,34,21,6,7,69,64,38,26,1.8823529411764706
589,2011/2012,England Premier League,Tottenham Hotspur,38,20,9,9,69,66,41,25,1.736842105263158
954,2013/2014,France Ligue 1,AS Saint-Étienne,38,20,9,9,69,56,34,22,1.4736842105263157
1139,2014/2015,France Ligue 1,AS Saint-Étienne,38,19,12,7,69,51,30,21,1.3421052631578947
926,2012/2013,Switzerland Super League,Grasshopper Club Zürich,36,20,9,7,69,48,32,16,1.3333333333333333
232,2009/2010,France Ligue 1,Montpellier Hérault SC,38,20,9,9,69,50,40,10,1.3157894736842106
949,2013/2014,England Premier League,Tottenham Hotspur,38,21,6,11,69,55,51,4,1.4473684210526316
319,2009/2010,Portugal Liga ZON Sagres,FC Porto,30,21,5,4,68,70,26,44,2.3333333333333335
98,2008/2009,Netherlands Eredivisie,Ajax,34,21,5,8,68,74,41,33,2.176470588235294
388,2010/2011,England Premier League,Arsenal,38,19,11,8,68,72,43,29,1.894736842105263
420,2010/2011,France Ligue 1,Olympique de Marseille,38,18,14,6,68,62,39,23,1.631578947368421
428,2010/2011,Germany Bundesliga 1,Bayer 04 Leverkusen,34,20,8,6,68,64,44,20,1.8823529411764706
82,2008/2009,Italy Serie A,Genoa,38,19,11,8,68,56,39,17,1.4736842105263157
81,2008/2009,Italy Serie A,Fiorentina,38,21,5,12,68,53,38,15,1.394736842105263
1060,2013/2014,Scotland Premier League,Aberdeen,38,20,8,10,68,53,38,15,1.394736842105263
752,2012/2013,Belgium Jupiler League,RSC Anderlecht,30,20,7,3,67,69,27,42,2.3
859,2012/2013,Poland Ekstraklasa,Legia Warszawa,30,20,7,3,67,59,22,37,1.9666666666666666
1016,2013/2014,Netherlands Eredivisie,Feyenoord,34,20,7,7,67,76,40,36,2.235294117647059
568,2011/2012,Belgium Jupiler League,RSC Anderlecht,30,20,7,3,67,61,26,35,2.033333333333333
1057,2013/2014,Portugal Liga ZON Sagres,Sporting CP,30,20,7,3,67,54,20,34,1.8
63,2008/2009,Germany Bundesliga 1,FC Bayern Munich,34,20,7,7,67,71,42,29,2.088235294117647
213,2009/2010,England Premier League,Manchester City,38,18,13,7,67,73,45,28,1.9210526315789473
158,2008/2009,Spain LIGA BBVA,Atlético Madrid,38,20,7,11,67,80,57,23,2.1052631578947367
788,2012/2013,France Ligue 1,Olympique Lyonnais,38,19,10,9,67,61,38,23,1.605263157894737
1373,2015/2016,Italy Serie A,Inter,38,20,7,11,67,50,38,12,1.3157894736842106
277,2009/2010,Italy Serie A,Sampdoria,38,19,10,9,67,49,41,8,1.2894736842105263
799,2012/2013,Germany Bundesliga 1,Borussia Dortmund,34,19,9,6,66,81,42,39,2.3823529411764706
1186,2014/2015,Italy Serie A,Lazio,37,20,6,11,66,67,36,31,1.8108108108108107
1314,2015/2016,England Premier League,Manchester City,38,19,9,10,66,71,41,30,1.868421052631579
1160,2014/2015,Germany Bundesliga 1,Borussia Mönchengladbach,34,19,9,6,66,53,26,27,1.5588235294117647
141,2008/2009,Portugal Liga ZON Sagres,Sporting CP,30,20,6,4,66,45,20,25,1.5
465,2010/2011,Italy Serie A,Udinese,38,20,6,12,66,65,43,22,1.7105263157894737
913,2012/2013,Spain LIGA BBVA,Real Sociedad,38,18,12,8,66,70,49,21,1.8421052631578947
1280,2014/2015,Switzerland Super League,BSC Young Boys,36,19,9,8,66,64,45,19,1.7777777777777777
457,2010/2011,Italy Serie A,Lazio,38,20,6,12,66,55,39,16,1.4473684210526316
835,2012/2013,Italy Serie A,Udinese,38,18,12,8,66,59,45,14,1.5526315789473684
1315,2015/2016,England Premier League,Manchester United,38,19,9,10,66,49,35,14,1.2894736842105263
432,2010/2011,Germany Bundesliga 1,FC Bayern Munich,34,19,8,7,65,81,40,41,2.3823529411764706
108,2008/2009,Netherlands Eredivisie,PSV,34,19,8,7,65,71,33,38,2.088235294117647
382,2010/2011,Belgium Jupiler League,RSC Anderlecht,30,19,8,3,65,58,20,38,1.9333333333333333
303,2009/2010,Poland Ekstraklasa,Lech Poznań,30,19,8,3,65,51,20,31,1.7
652,2011/2012,Netherlands Eredivisie,AZ,34,19,8,7,65,64,35,29,1.8823529411764706
798,2012/2013,Germany Bundesliga 1,Bayer 04 Leverkusen,34,19,8,7,65,65,39,26,1.911764705882353
1101,2013/2014,Switzerland Super League,Grasshopper Club Zürich,36,19,8,9,65,67,43,24,1.8611111111111112
1338,2015/2016,France Ligue 1,Olympique Lyonnais,38,19,8,11,65,67,43,24,1.763157894736842
249,2009/2010,Germany Bundesliga 1,FC Schalke 04,34,19,8,7,65,53,31,22,1.5588235294117647
370,2009/2010,Switzerland Super League,Grasshopper Club Zürich,36,21,2,13,65,65,43,22,1.8055555555555556
995,2013/2014,Italy Serie A,Fiorentina,38,19,8,11,65,65,44,21,1.7105263157894737
1441,2015/2016,Scotland Premier League,Heart of Midlothian,38,18,11,9,65,59,40,19,1.5526315789473684
917,2012/2013,Spain LIGA BBVA,Valencia CF,38,19,8,11,65,67,54,13,1.763157894736842
274,2009/2010,Italy Serie A,Palermo,38,18,11,9,65,59,47,12,1.5526315789473684
1253,2014/2015,Scotland Premier League,Inverness Caledonian Thistle,38,19,8,11,65,52,42,10,1.368421052631579
176,2008/2009,Spain LIGA BBVA,Villarreal CF,38,18,11,9,65,61,54,7,1.605263157894737
1326,2015/2016,France Ligue 1,AS Monaco,38,17,14,7,65,57,50,7,1.5
583,2011/2012,England Premier League,Newcastle United,38,19,8,11,65,56,51,5,1.4736842105263157
376,2010/2011,Belgium Jupiler League,KRC Genk,30,19,7,4,64,64,27,37,2.1333333333333333
1290,2015/2016,Belgium Jupiler League,Club Brugge KV,30,21,1,8,64,64,30,34,2.1333333333333333
127,2008/2009,Poland Ekstraklasa,Wisła Kraków,30,19,7,4,64,53,21,32,1.7666666666666666
621,2011/2012,Germany Bundesliga 1,FC Schalke 04,34,20,4,10,64,74,44,30,2.176470588235294
852,2012/2013,Netherlands Eredivisie,Vitesse,34,19,7,8,64,68,42,26,2.0
419,2010/2011,France Ligue 1,Olympique Lyonnais,38,17,13,8,64,61,40,21,1.605263157894737
942,2013/2014,England Premier League,Manchester United,38,19,7,12,64,64,43,21,1.6842105263157894
73,2008/2009,Germany Bundesliga 1,VfB Stuttgart,34,19,7,8,64,63,43,20,1.8529411764705883
666,2011/2012,Netherlands Eredivisie,SC Heerenveen,34,18,10,6,64,79,59,20,2.323529411764706
980,2013/2014,Germany Bundesliga 1,FC Schalke 04,34,19,7,8,64,63,43,20,1.8529411764705883
577,2011/2012,England Premier League,Chelsea,38,18,10,10,64,65,46,19,1.7105263157894737
56,2008/2009,France Ligue 1,Toulouse FC,38,16,16,6,64,45,27,18,1.1842105263157894
228,2009/2010,France Ligue 1,Girondins de Bordeaux,38,19,7,12,64,58,40,18,1.5263157894736843
1369,2015/2016,Italy Serie A,Fiorentina,38,18,10,10,64,60,42,18,1.5789473684210527
1181,2014/2015,Italy Serie A,Fiorentina,38,18,10,10,64,61,46,15,1.605263157894737
203,2009/2010,England Premier League,Aston Villa,38,17,13,8,64,52,39,13,1.368421052631579
604,2011/2012,France Ligue 1,Olympique Lyonnais,38,19,7,12,64,64,51,13,1.6842105263157894
47,2008/2009,France Ligue 1,LOSC Lille,38,17,13,8,64,51,39,12,1.3421052631578947
53,2008/2009,France Ligue 1,Paris Saint-Germain,38,19,7,12,64,49,38,11,1.2894736842105263
787,2012/2013,France Ligue 1,OGC Nice,38,18,10,10,64,57,46,11,1.5
1467,2015/2016,Spain LIGA BBVA,Villarreal CF,38,18,10,10,64,44,35,9,1.1578947368421053
1135,2014/2015,England Premier League,Tottenham Hotspur,38,19,7,12,64,58,53,5,1.5263157894736843
124,2008/2009,Poland Ekstraklasa,Polonia Bytom,60,17,13,30,64,50,79,-29,0.8333333333333334
1014,2013/2014,Netherlands Eredivisie,FC Twente,34,17,12,5,63,72,37,35,2.1176470588235294
510,2010/2011,Portugal Liga ZON Sagres,SL Benfica,30,20,3,7,63,61,31,30,2.033333333333333
1033,2013/2014,Poland Ekstraklasa,Legia Warszawa,30,20,3,7,63,60,30,30,2.0
780,2012/2013,France Ligue 1,AS Saint-Étienne,38,16,15,7,63,60,32,28,1.5789473684210527
212,2009/2010,England Premier League,Liverpool,38,18,9,11,63,61,35,26,1.605263157894737
286,2009/2010,Netherlands Eredivisie,Feyenoord,34,17,12,5,63,54,31,23,1.588235294117647
1392,2015/2016,Netherlands Eredivisie,Feyenoord,34,19,6,9,63,62,40,22,1.8235294117647058
753,2012/2013,Belgium Jupiler League,SV Zulte-Waregem,30,19,6,5,63,49,29,20,1.6333333333333333
23,2008/2009,England Premier League,Everton,38,17,12,9,63,55,37,18,1.4473684210526316
650,2011/2012,Italy Serie A,Udinese,36,18,9,9,63,52,34,18,1.4444444444444444
1188,2014/2015,Italy Serie A,Napoli,37,18,9,10,63,68,50,18,1.837837837837838
1318,2015/2016,England Premier League,Southampton,38,18,9,11,63,59,41,18,1.5526315789473684
1088,2013/2014,Spain LIGA BBVA,Sevilla FC,38,18,9,11,63,69,52,17,1.8157894736842106
1337,2015/2016,France Ligue 1,OGC Nice,38,18,9,11,63,58,41,17,1.5263157894736843
357,2009/2010,Spain LIGA BBVA,Sevilla FC,38,19,6,13,63,65,49,16,1.7105263157894737
894,2012/2013,Scotland Premier League,Motherwell,38,18,9,11,63,67,51,16,1.763157894736842
761,2012/2013,England Premier League,Everton,38,16,15,7,63,55,40,15,1.4473684210526316
841,2012/2013,Netherlands Eredivisie,FC Utrecht,34,19,6,9,63,55,41,14,1.6176470588235294
332,2009/2010,Scotland Premier League,Dundee United,38,17,12,9,63,55,47,8,1.4473684210526316
519,2010/2011,Scotland Premier League,Heart of Midlothian,38,18,9,11,63,53,45,8,1.394736842105263
69,2008/2009,Germany Bundesliga 1,Hertha BSC Berlin,34,19,6,9,63,48,41,7,1.411764705882353
463,2010/2011,Italy Serie A,Roma,38,18,9,11,63,59,52,7,1.5526315789473684
91,2008/2009,Italy Serie A,Roma,38,18,9,11,63,64,61,3,1.6842105263157894
1144,2014/2015,France Ligue 1,Girondins de Bordeaux,38,17,12,9,63,47,44,3,1.236842105263158
680,2011/2012,Poland Ekstraklasa,Widzew Łódź,60,14,21,25,63,48,79,-31,0.8
281,2009/2010,Netherlands Eredivisie,AZ,34,19,5,10,62,64,34,30,1.8823529411764706
694,2011/2012,Portugal Liga ZON Sagres,SC Braga,30,19,5,6,62,59,29,30,1.9666666666666666
311,2009/2010,Poland Ekstraklasa,Wisła Kraków,30,19,5,6,62,48,20,28,1.6
840,2012/2013,Netherlands Eredivisie,FC Twente,34,17,11,6,62,60,33,27,1.7647058823529411
785,2012/2013,France Ligue 1,LOSC Lille,38,16,14,8,62,59,40,19,1.5526315789473684
351,2009/2010,Spain LIGA BBVA,RCD Mallorca,38,18,8,12,62,59,44,15,1.5526315789473684
831,2012/2013,Italy Serie A,Roma,38,18,8,12,62,71,56,15,1.868421052631579
175,2008/2009,Spain LIGA BBVA,Valencia CF,38,18,8,12,62,68,54,14,1.7894736842105263
1325,2015/2016,England Premier League,West Ham United,38,16,14,8,62,65,51,14,1.7105263157894737
1448,2015/2016,Spain LIGA BBVA,Athletic Club de Bilbao,38,18,8,12,62,58,45,13,1.5263157894736843
546,2010/2011,Spain LIGA BBVA,Villarreal CF,38,18,8,12,62,54,44,10,1.4210526315789473
403,2010/2011,England Premier League,Tottenham Hotspur,38,16,14,8,62,55,46,9,1.4473684210526316
1197,2014/2015,Netherlands Eredivisie,AZ,34,19,5,10,62,63,56,7,1.8529411764705883
19,2008/2009,England Premier League,Aston Villa,38,17,11,10,62,54,48,6,1.4210526315789473
708,2011/2012,Scotland Premier League,Motherwell,38,18,8,12,62,49,44,5,1.2894736842105263
1126,2014/2015,England Premier League,Liverpool,38,18,8,12,62,52,48,4,1.368421052631579
1102,2014/2015,Belgium Jupiler League,Club Brugge KV,30,17,10,3,61,69,28,41,2.3
120,2008/2009,Poland Ekstraklasa,Legia Warszawa,30,18,7,5,61,52,17,35,1.7333333333333334
1051,2013/2014,Portugal Liga ZON Sagres,FC Porto,30,19,4,7,61,57,25,32,1.9
255,2009/2010,Germany Bundesliga 1,SV Werder Bremen,34,17,10,7,61,71,40,31,2.088235294117647
763,2012/2013,England Premier League,Liverpool,38,16,13,9,61,71,43,28,1.868421052631579
1158,2014/2015,Germany Bundesliga 1,Bayer 04 Leverkusen,34,17,10,7,61,62,37,25,1.8235294117647058
857,2012/2013,Poland Ekstraklasa,Lech Poznań,30,19,4,7,61,46,22,24,1.5333333333333334
558,2011/2012,Belgium Jupiler League,Club Brugge KV,30,19,4,7,61,51,32,19,1.7
972,2013/2014,Germany Bundesliga 1,Bayer 04 Leverkusen,34,19,4,11,61,60,41,19,1.7647058823529411
730,2011/2012,Spain LIGA BBVA,Valencia CF,38,17,10,11,61,59,44,15,1.5526315789473684
600,2011/2012,France Ligue 1,Girondins de Bordeaux,38,16,13,9,61,53,41,12,1.394736842105263
963,2013/2014,France Ligue 1,Olympique Lyonnais,38,17,10,11,61,56,44,12,1.4736842105263157
209,2009/2010,England Premier League,Everton,38,16,13,9,61,60,49,11,1.5789473684210527
825,2012/2013,Italy Serie A,Lazio,38,18,7,13,61,51,42,9,1.3421052631578947
1381,2015/2016,Italy Serie A,Sassuolo,38,16,13,9,61,49,40,9,1.2894736842105263
55,2008/2009,France Ligue 1,Stade Rennais FC,38,15,16,7,61,42,34,8,1.105263157894737
517,2010/2011,Scotland Premier League,Dundee United,38,17,10,11,61,55,50,5,1.4473684210526316
67,2008/2009,Germany Bundesliga 1,Hamburger SV,34,19,4,11,61,49,47,2,1.4411764705882353
657,2011/2012,Netherlands Eredivisie,FC Twente,34,17,9,8,60,82,46,36,2.411764705882353
1408,2015/2016,Poland Ekstraklasa,Legia Warszawa,30,17,9,4,60,58,28,30,1.9333333333333333
1291,2015/2016,Belgium Jupiler League,KAA Gent,30,17,9,4,60,56,29,27,1.8666666666666667
615,2011/2012,Germany Bundesliga 1,Borussia Mönchengladbach,34,17,9,8,60,49,24,25,1.4411764705882353
644,2011/2012,Italy Serie A,Napoli,36,16,12,8,60,64,41,23,1.7777777777777777
998,2013/2014,Italy Serie A,Inter,38,15,15,8,60,62,39,23,1.631578947368421
1131,2014/2015,England Premier League,Southampton,38,18,6,14,60,54,33,21,1.4210526315789473
1346,2015/2016,Germany Bundesliga 1,Bayer 04 Leverkusen,34,18,6,10,60,56,40,16,1.6470588235294117
421,2010/2011,France Ligue 1,Paris Saint-Germain,38,15,15,8,60,56,41,15,1.4736842105263157
964,2013/2014,France Ligue 1,Olympique de Marseille,38,16,12,10,60,53,40,13,1.394736842105263
989,2013/2014,Germany Bundesliga 1,VfL Wolfsburg,34,18,6,10,60,63,50,13,1.8529411764705883
1313,2015/2016,England Premier League,Liverpool,38,16,12,10,60,63,50,13,1.6578947368421053
1335,2015/2016,France Ligue 1,LOSC Lille,38,15,15,8,60,39,27,12,1.0263157894736843
1279,2014/2015,Spain LIGA BBVA,Villarreal CF,38,16,12,10,60,48,37,11,1.263157894736842
110,2008/2009,Netherlands Eredivisie,SC Heerenveen,34,17,9,8,60,66,57,9,1.9411764705882353
609,2011/2012,France Ligue 1,Stade Rennais FC,38,17,9,12,60,53,44,9,1.394736842105263
440,2010/2011,Germany Bundesliga 1,Hannover 96,34,19,3,12,60,49,45,4,1.4411764705882353
1455,2015/2016,Spain LIGA BBVA,RC Celta de Vigo,38,17,9,12,60,51,59,-8,1.3421052631578947
118,2008/2009,Poland Ekstraklasa,Lech Poznań,30,16,11,3,59,51,24,27,1.7
242,2009/2010,Germany Bundesliga 1,Bayer 04 Leverkusen,34,15,14,5,59,65,38,27,1.911764705882353
3,2008/2009,Belgium Jupiler League,KAA Gent,34,17,8,9,59,67,42,25,1.9705882352941178
59,2008/2009,Germany Bundesliga 1,Borussia Dortmund,34,15,14,5,59,60,37,23,1.7647058823529411
140,2008/2009,Portugal Liga ZON Sagres,SL Benfica,30,17,8,5,59,54,32,22,1.8
696,2011/2012,Portugal Liga ZON Sagres,Sporting CP,30,18,5,7,59,47,26,21,1.5666666666666667
923,2012/2013,Switzerland Super League,FC St. Gallen,36,17,8,11,59,54,36,18,1.5
1204,2014/2015,Netherlands Eredivisie,Feyenoord,34,17,8,9,59,56,39,17,1.6470588235294117
1385,2015/2016,Netherlands Eredivisie,AZ,34,18,5,11,59,70,53,17,2.0588235294117645
1091,2013/2014,Spain LIGA BBVA,Villarreal CF,38,17,8,13,59,60,44,16,1.5789473684210527
1022,2013/2014,Netherlands Eredivisie,PSV,34,18,5,11,59,60,45,15,1.7647058823529411
1182,2014/2015,Italy Serie A,Genoa,38,16,11,11,59,62,47,15,1.631578947368421
702,2011/2012,Scotland Premier League,Dundee United,38,16,11,11,59,62,50,12,1.631578947368421
467,2010/2011,Netherlands Eredivisie,AZ,34,17,8,9,59,55,44,11,1.6176470588235294
641,2011/2012,Italy Serie A,Lazio,36,17,8,11,59,53,43,10,1.4722222222222223
1,2008/2009,Belgium Jupiler League,Club Brugge KV,34,18,5,11,59,59,50,9,1.7352941176470589
1092,2013/2014,Switzerland Super League,BSC Young Boys,36,17,8,11,59,59,50,9,1.6388888888888888
273,2009/2010,Italy Serie A,Napoli,38,15,14,9,59,50,43,7,1.3157894736842106
1086,2013/2014,Spain LIGA BBVA,Real Sociedad,38,16,11,11,59,62,55,7,1.631578947368421
150,2008/2009,Scotland Premier League,Heart of Midlothian,38,16,11,11,59,40,37,3,1.0526315789473684
1243,2014/2015,Portugal Liga ZON Sagres,SC Braga,34,17,7,10,58,55,28,27,1.6176470588235294
1212,2014/2015,Netherlands Eredivisie,Vitesse,34,16,10,8,58,66,43,23,1.9411764705882353
1429,2015/2016,Portugal Liga ZON Sagres,SC Braga,34,16,10,8,58,54,35,19,1.588235294117647
414,2010/2011,France Ligue 1,FC Sochaux-Montbéliard,38,17,7,14,58,60,43,17,1.5789473684210527
397,2010/2011,England Premier League,Liverpool,38,17,7,14,58,59,44,15,1.5526315789473684
1062,2013/2014,Scotland Premier League,Dundee United,38,16,10,12,58,65,50,15,1.7105263157894737
438,2010/2011,Germany Bundesliga 1,FSV Mainz 05,34,18,4,12,58,52,39,13,1.5294117647058822
1409,2015/2016,Poland Ekstraklasa,Piast Gliwice,30,17,7,6,58,49,36,13,1.6333333333333333
226,2009/2010,France Ligue 1,FC Lorient,38,16,10,12,58,54,42,12,1.4210526315789473
1004,2013/2014,Italy Serie A,Parma,38,15,13,10,58,58,46,12,1.5263157894736843
95,2008/2009,Italy Serie A,Udinese,38,16,10,12,58,61,50,11,1.605263157894737
366,2009/2010,Switzerland Super League,FC Luzern,36,17,7,12,58,66,55,11,1.8333333333333333
347,2009/2010,Spain LIGA BBVA,Getafe CF,38,17,7,14,58,58,48,10,1.5263157894736843
456,2010/2011,Italy Serie A,Juventus,38,15,13,10,58,57,47,10,1.5
528,2010/2011,Spain LIGA BBVA,Atlético Madrid,38,17,7,14,58,62,53,9,1.631578947368421
1327,2015/2016,France Ligue 1,AS Saint-Étienne,38,17,7,14,58,42,37,5,1.105263157894737
527,2010/2011,Spain LIGA BBVA,Athletic Club de Bilbao,38,18,4,16,58,59,55,4,1.5526315789473684
164,2008/2009,Spain LIGA BBVA,RC Deportivo de La Coruña,38,16,10,12,58,48,47,1,1.263157894736842
543,2010/2011,Spain LIGA BBVA,Sevilla FC,38,17,7,14,58,62,61,1,1.631578947368421
719,2011/2012,Spain LIGA BBVA,Málaga CF,38,17,7,14,58,54,53,1,1.4210526315789473
1103,2014/2015,Belgium Jupiler League,KAA Gent,30,16,9,5,57,52,29,23,1.7333333333333334
1026,2013/2014,Netherlands Eredivisie,SC Heerenveen,34,16,9,9,57,72,51,21,2.1176470588235294
1111,2014/2015,Belgium Jupiler League,RSC Anderlecht,30,16,9,5,57,51,30,21,1.7
188,2009/2010,Belgium Jupiler League,Club Brugge KV,28,17,6,5,57,52,33,19,1.8571428571428572
374,2010/2011,Belgium Jupiler League,KAA Gent,30,17,6,7,57,59,42,17,1.9666666666666666
548,2010/2011,Switzerland Super League,BSC Young Boys,36,15,12,9,57,65,50,15,1.8055555555555556
471,2010/2011,Netherlands Eredivisie,FC Groningen,34,17,6,11,57,65,52,13,1.911764705882353
243,2009/2010,Germany Bundesliga 1,Borussia Dortmund,34,16,9,9,57,54,42,12,1.588235294117647
1008,2013/2014,Italy Serie A,Torino,38,15,12,11,57,58,48,10,1.5263157894736843
1002,2013/2014,Italy Serie A,Milan,38,16,9,13,57,57,49,8,1.5
89,2008/2009,Italy Serie A,Palermo,38,17,6,15,57,57,50,7,1.5
1376,2015/2016,Italy Serie A,Milan,38,15,12,11,57,49,43,6,1.2894736842105263
596,2011/2012,France Ligue 1,AS Saint-Étienne,38,16,9,13,57,49,45,4,1.2894736842105263
639,2011/2012,Italy Serie A,Inter,37,17,6,14,57,56,53,3,1.5135135135135136
905,2012/2013,Spain LIGA BBVA,Málaga CF,38,16,9,13,57,53,50,3,1.394736842105263
1065,2013/2014,Scotland Premier League,Inverness Caledonian Thistle,38,16,9,13,57,44,44,0,1.1578947368421053
1258,2014/2015,Scotland Premier League,St. Johnstone FC,38,16,9,13,57,34,34,0,0.8947368421052632
559,2011/2012,Belgium Jupiler League,KAA Gent,30,17,5,8,56,63,35,28,2.1
1221,2014/2015,Poland Ekstraklasa,Legia Warszawa,30,17,5,8,56,57,30,27,1.9
100,2008/2009,Netherlands Eredivisie,FC Groningen,34,17,5,12,56,53,36,17,1.5588235294117647
683,2011/2012,Poland Ekstraklasa,Śląsk Wrocław,30,17,5,8,56,47,31,16,1.5666666666666667
496,2010/2011,Poland Ekstraklasa,Wisła Kraków,30,17,5,8,56,44,29,15,1.4666666666666666
578,2011/2012,England Premier League,Everton,38,15,11,12,56,50,40,10,1.3157894736842106
945,2013/2014,England Premier League,Southampton,38,15,11,12,56,54,46,8,1.4210526315789473
648,2011/2012,Italy Serie A,Roma,37,16,8,13,56,59,52,7,1.5945945945945945
713,2011/2012,Spain LIGA BBVA,Atlético Madrid,38,15,11,12,56,53,46,7,1.394736842105263
1146,2014/2015,France Ligue 1,Montpellier Hérault SC,38,16,8,14,56,46,39,7,1.2105263157894737
1192,2014/2015,Italy Serie A,Sampdoria,38,13,17,8,56,48,42,6,1.263157894736842
287,2009/2010,Netherlands Eredivisie,Heracles Almelo,34,17,5,12,56,54,49,5,1.588235294117647
819,2012/2013,Italy Serie A,Catania,38,15,11,12,56,50,46,4,1.3157894736842106
425,2010/2011,France Ligue 1,Stade Rennais FC,38,15,11,12,56,38,35,3,1.0
610,2011/2012,France Ligue 1,Toulouse FC,38,15,11,12,56,37,34,3,0.9736842105263158
1447,2015/2016,Scotland Premier League,St. Johnstone FC,38,16,8,14,56,58,55,3,1.5263157894736843
1251,2014/2015,Scotland Premier League,Dundee United,38,17,5,16,56,58,56,2,1.5263157894736843
360,2009/2010,Spain LIGA BBVA,Villarreal CF,38,16,8,14,56,58,57,1,1.5263157894736843
896,2012/2013,Scotland Premier League,St. Johnstone FC,38,14,14,10,56,45,44,1,1.1842105263157894
911,2012/2013,Spain LIGA BBVA,Real Betis Balompié,38,16,8,14,56,57,56,1,1.5
1145,2014/2015,France Ligue 1,LOSC Lille,38,16,8,14,56,43,42,1,1.131578947368421
1000,2013/2014,Italy Serie A,Lazio,38,15,11,12,56,54,54,0,1.4210526315789473
1134,2014/2015,England Premier League,Swansea City,38,16,8,14,56,46,49,-3,1.2105263157894737
461,2010/2011,Italy Serie A,Palermo,38,17,5,16,56,58,63,-5,1.5263157894736843
745,2012/2013,Belgium Jupiler League,KRC Genk,30,15,10,5,55,63,40,23,2.1
1298,2015/2016,Belgium Jupiler League,RSC Anderlecht,30,15,10,5,55,51,29,22,1.7
13,2008/2009,Belgium Jupiler League,SV Zulte-Waregem,34,16,7,11,55,55,36,19,1.6176470588235294
1348,2015/2016,Germany Bundesliga 1,Borussia Mönchengladbach,34,17,4,13,55,67,50,17,1.9705882352941178
679,2011/2012,Poland Ekstraklasa,Ruch Chorzów,30,16,7,7,55,44,28,16,1.4666666666666666
974,2013/2014,Germany Bundesliga 1,Borussia Mönchengladbach,34,16,7,11,55,59,43,16,1.7352941176470589
1027,2013/2014,Netherlands Eredivisie,Vitesse,34,15,10,9,55,65,49,16,1.911764705882353
479,2010/2011,Netherlands Eredivisie,Roda JC Kerkrade,34,14,13,7,55,65,50,15,1.911764705882353
1246,2014/2015,Portugal Liga ZON Sagres,Vitória Guimarães,34,15,10,9,55,50,35,15,1.4705882352941178
72,2008/2009,Germany Bundesliga 1,TSG 1899 Hoffenheim,34,15,10,9,55,63,49,14,1.8529411764705883
925,2012/2013,Switzerland Super League,FC Zürich,36,16,7,13,55,62,48,14,1.7222222222222223
1184,2014/2015,Italy Serie A,Inter,38,14,13,11,55,59,48,11,1.5526315789473684
257,2009/2010,Germany Bundesliga 1,VfB Stuttgart,34,15,10,9,55,51,41,10,1.5
