Id,season,league_name,Club,MP,W,D,L,Pts,GF,GA,GD,avg_goals
697,2011/2012,Portugal Liga ZON Sagres,"União de Leiria, SAD",30,5,4,21,19,25,56,-31,0.8333333333333334
385,2010/2011,Belgium Jupiler League,Sporting Charleroi,30,4,7,19,19,20,54,-34,0.6666666666666666
655,2011/2012,Netherlands Eredivisie,Excelsior,34,4,7,23,19,28,76,-48,0.8235294117647058
192,2009/2010,Belgium Jupiler League,KSV Roeselare,28,4,6,18,18,29,58,-29,1.0357142857142858
200,2009/2010,Belgium Jupiler League,Sporting Lokeren,28,5,3,20,18,22,54,-32,0.7857142857142857
1398,2015/2016,Netherlands Eredivisie,SC Cambuur,34,3,9,22,18,33,79,-46,0.9705882352941176
1329,2015/2016,France Ligue 1,ES Troyes AC,38,3,9,26,18,28,83,-55,0.7368421052631579
1307,2015/2016,England Premier League,Aston Villa,38,3,8,27,17,27,76,-49,0.7105263157894737
291,2009/2010,Netherlands Eredivisie,RKC Waalwijk,34,5,0,29,15,30,80,-50,0.8823529411764706
483,2010/2011,Netherlands Eredivisie,Willem II,34,3,6,25,15,37,98,-61,1.088235294117647
929,2013/2014,Belgium Jupiler League,KV Oostende,6,4,2,0,14,7,1,6,1.1666666666666667
746,2012/2013,Belgium Jupiler League,KSV Cercle Brugge,30,3,5,22,14,30,65,-35,1.0
928,2013/2014,Belgium Jupiler League,KAA Gent,6,3,1,2,10,11,6,5,1.8333333333333333
930,2013/2014,Belgium Jupiler League,Lierse SK,6,2,0,4,6,5,12,-7,0.8333333333333334
931,2013/2014,Belgium Jupiler League,Waasland-Beveren,6,1,1,4,4,7,11,-4,1.1666666666666667
